word1,word2,party,count
les,suisse,#FF5733,2
les,c'est,#FF5733,2
les,enfants,#FF5733,4
les,droit,#FF5733,2
les,ans,#FF5733,3
les,femmes,#FF5733,3
les,prestations,#FF5733,3
les,complémentaires,#FF5733,3
les,compétence,#FF5733,3
les,doivent,#FF5733,3
les,cantons,#FF5733,4
les,soutiens,#FF5733,2
les,plus,#FF5733,3
les,commencer,#FF5733,2
les,besoin,#FF5733,2
les,déjà,#0000FF,2
les,non,#0000FF,2
les,doivent,#0000FF,2
les,non,#00FFFF,4
les,régions,#00FFFF,2
les,doivent,#00FFFF,17
les,d'un,#00FFFF,4
les,congé,#00FFFF,7
les,parental,#00FFFF,7
les,réparti,#00FFFF,7
les,entre,#00FFFF,7
les,époux,#00FFFF,7
les,selon,#00FFFF,3
les,devraient,#00FFFF,2
les,plus,#00FFFF,7
les,économiques,#00FFFF,3
les,maintenir,#00FFFF,2
les,jlrg,#00FFFF,5
les,soutiennent,#00FFFF,5
les,moyennant,#00FFFF,2
les,contrôle,#00FFFF,2
les,judiciaire,#00FFFF,2
les,possible,#00FFFF,2
les,criminalité,#00FFFF,2
les,juvénile,#00FFFF,2
les,s'est,#00FFFF,2
les,durcie,#00FFFF,2
les,accords,#00FFFF,6
les,schengen,#00FFFF,2
les,fonctionnent,#00FFFF,2
les,contrôles,#00FFFF,3
les,peuvent,#00FFFF,2
les,frontières,#00FFFF,2
les,faut,#00FFFF,9
les,exemple,#00FFFF,2
les,n'est,#00FFFF,2
les,conseil,#00FFFF,2
les,national,#00FFFF,2
les,également,#00FFFF,3
les,cantons,#00FFFF,5
les,nucléaire,#00FFFF,3
les,d'autres,#00FFFF,3
les,mieux,#00FFFF,2
les,déjà,#00FFFF,3
les,suffisamment,#00FFFF,2
les,taxés,#00FFFF,3
les,dons,#00FFFF,2
les,n'ont,#00FFFF,2
les,envie,#00FFFF,2
les,monde,#00FFFF,2
les,donné,#00FFFF,2
les,lois,#00FFFF,2
les,dont,#00FFFF,2
les,l'etat,#00FFFF,2
les,droit,#00FFFF,3
les,trouver,#00FFFF,2
les,comprendre,#00FFFF,2
les,devons,#00FFFF,2
les,donner,#00FFFF,2
les,société,#00FFFF,2
les,impôts,#00FFFF,6
les,salaires,#00FFFF,2
les,suisse,#00FFFF,7
les,canton,#00FFFF,2
les,solution,#00FFFF,6
les,actuelle,#00FFFF,3
les,partis,#00FFFF,2
les,centrales,#00FFFF,2
les,nucléaires,#00FFFF,3
les,sécurité,#00FFFF,2
les,quoi,#00FFFF,2
les,carburants,#00FFFF,2
les,la,#00FFFF,3
les,traitement,#00FFFF,2
les,pertes,#00FFFF,3
les,fiscales,#00FFFF,4
les,compensées,#00FFFF,2
les,rapidement,#00FFFF,2
les,résultats,#00FFFF,3
les,compétitivité,#00FFFF,2
les,les,#00FFFF,5
les,payé,#00FFFF,3
les,façon,#00FFFF,3
les,raisonnable,#00FFFF,5
les,l’ensemble,#00FFFF,2
les,problèmes,#00FFFF,3
les,marché,#00FFFF,2
les,travail,#00FFFF,3
les,compétence,#00FFFF,2
les,judicieux,#00FFFF,2
les,savoir,#00FFFF,2
les,2ème,#00FFFF,3
les,génération,#00FFFF,2
les,n'a,#00FFFF,2
les,femmes,#00FFFF,3
les,salaire,#00FFFF,2
les,puisse,#00FFFF,2
les,parents,#00FFFF,2
les,travailler,#00FFFF,2
les,pays,#00FFFF,2
les,contributeurs,#00FFFF,2
les,dernières,#00FFFF,2
les,années,#00FFFF,2
les,adapté,#00FFFF,2
les,vis,#00FFFF,2
les,délits,#00FFFF,2
les,bilatérales,#00FFFF,2
les,bilatéraux,#00FFFF,3
les,fédéral,#00FFFF,2
les,souhaite,#00FFFF,2
les,intéressants,#00FFFF,2
les,économie,#00FFFF,2
les,il,#00FFFF,2
les,longtemps,#00FFFF,2
les,réduits,#00FFFF,4
les,politique,#00FFFF,4
les,fiscale,#00FFFF,4
les,refuser,#00FFFF,2
les,sauver,#00FFFF,2
les,vies,#00FFFF,2
les,priorité,#00FFFF,2
les,cas,#00FFFF,2
les,vaud,#00FFFF,2
les,additionnels,#00FFFF,2
les,entreprises,#00FFFF,2
les,passeport,#00FFFF,2
les,verts,#008000,5
les,veulent,#008000,5
les,retraite,#008000,5
les,carte,#008000,5
les,prendrait,#008000,3
les,entre,#008000,6
les,autres,#008000,4
les,compte,#008000,4
les,pénibilité,#008000,2
les,travail,#008000,3
les,congé,#008000,3
les,parental,#008000,3
les,partager,#008000,2
les,faut,#008000,2
les,coûts,#008000,2
les,non,#008000,3
les,ttip,#008000,2
les,fonds,#008000,3
les,doivent,#008000,7
les,attribués,#008000,3
les,façon,#008000,3
les,ciblée,#008000,3
les,paysannes,#008000,3
les,prestations,#008000,7
les,cours,#008000,2
les,solution,#008000,4
les,plus,#008000,2
les,l'agriculture,#008000,4
les,biologique,#008000,2
les,,#008000,2
les,suisse,#008000,3
les,un,#008000,2
les,mieux,#008000,3
les,durable,#008000,2
les,autant,#008000,2
les,portefeuille,#008000,2
les,qualité,#008000,3
les,villes,#008000,4
les,agglomérations,#008000,2
les,faudrait,#008000,2
les,prenant,#008000,2
les,nombreuses,#008000,2
les,potentiel,#008000,2
les,inexploité,#008000,2
les,sein,#008000,2
les,panneaux,#008000,2
les,solaires,#008000,2
les,thermiques,#008000,2
les,photovoltaïques,#008000,2
les,ogm,#008000,3
les,n'ont,#008000,2
les,place,#008000,2
les,stratégie,#008000,2
les,pays,#008000,2
les,responsabilité,#FF0000,2
les,surtout,#FF0000,2
les,pendant,#FF0000,2
les,s'agit,#FF0000,2
les,d'un,#FF0000,3
les,doivent,#FF0000,8
les,pays,#FF0000,2
les,exemple,#FF0000,2
les,régions,#FF0000,2
les,transports,#FF0000,3
les,positions,#FF0000,2
les,plus,#FF0000,3
les,exploitations,#FF0000,2
les,conventionnelles,#FF0000,2
les,judicieux,#FF0000,2
les,publics,#FF0000,2
les,contre,#FF0000,2
les,clairement,#FF0000,2
les,développés,#FF0000,2
les,les,#FF0000,3
les,déjà,#FF0000,2
les,production,#FF0000,2
les,biologique,#FF0000,2
les,parents,#FF0000,2
les,droit,#FF0000,2
les,choisir,#FF0000,2
les,librement,#FF0000,2
les,vacciner,#FF0000,2
les,non,#FF0000,2
les,enfants,#FF0000,2
les,plutôt,#FF0000,2
les,devraient,#00FF00,2
les,citoyens,#00FF00,2
prestations,der,#FF5733,2
prestations,plus,#FF5733,4
prestations,entre,#FF5733,4
prestations,les,#FF5733,3
prestations,complémentaires,#FF5733,5
prestations,compétence,#FF5733,4
prestations,cantonale,#FF5733,2
prestations,proximité,#FF5733,2
prestations,rester,#FF5733,3
prestations,soutiens,#FF5733,2
prestations,cantons,#FF5733,2
prestations,assurer,#FF5733,2
prestations,meilleure,#FF5733,2
prestations,adequation,#FF5733,2
prestations,l'augmentation,#FF5733,2
prestations,durée,#FF5733,2
prestations,vie,#FF5733,2
prestations,l'avs,#FF5733,2
prestations,valoriser,#FF5733,2
prestations,seniors,#FF5733,2
prestations,capables,#FF5733,2
prestations,longtemps,#FF5733,2
prestations,faut,#FF5733,2
prestations,enfants,#FF5733,2
prestations,complémentaires,#0000FF,2
prestations,cantons,#00FFFF,3
prestations,communes,#00FFFF,3
prestations,l'aide,#00FFFF,2
prestations,déjà,#00FFFF,8
prestations,plus,#00FFFF,6
prestations,certain,#00FFFF,2
